date,betplay,codere,rushbet,rivalo,yajuego,bet365,casino,tuboleta,etiquet,tiquetera,boleta,concierto,apuesta,fútbol,evento,exposición,música,teatro,escenario,escultura,festival,poker,circo,ballet,danza,museo,biblioteca,fotografía,baloto,chance,lotería,zoológico,botánico,parque,ruleta,bingo,estadio,gimnasio,feria,libro,hotel,hoteles
2004-01-01,0,28,0,0,0,0,14,0,0,0,0,23,0,0,17,0,29,23,0,0,22,17,27,0,26,61,57,86,12,2,1,0,46,27,32,7,16,80,48,47,44,76
2004-02-01,0,20,0,100,17,30,14,0,0,94,10,31,0,5,31,46,33,36,44,79,22,13,12,67,100,58,99,43,14,0,1,57,0,21,0,0,33,47,26,65,32,63
2004-03-01,0,0,0,0,0,0,24,8,0,0,14,40,0,3,28,0,39,73,51,74,68,18,0,88,74,77,100,55,10,7,0,0,0,23,11,0,54,49,32,84,40,52
2004-04-01,0,0,0,42,0,0,30,16,0,0,11,27,5,2,42,0,32,85,0,75,90,25,7,46,86,73,97,0,10,0,1,0,100,24,8,0,32,50,67,99,37,53
2004-05-01,0,0,0,17,0,0,19,0,75,0,3,17,0,7,26,31,29,39,47,100,23,15,18,65,64,80,76,44,7,2,0,0,36,30,21,3,27,46,45,83,32,58
2004-06-01,0,0,0,0,0,0,19,15,0,0,20,18,0,8,25,0,38,27,0,46,31,21,23,100,54,55,51,76,8,2,1,0,47,24,11,0,35,66,32,67,50,81
2004-07-01,1,21,0,0,9,0,18,0,0,44,19,46,8,6,10,39,35,42,0,58,31,24,28,58,68,100,75,54,13,5,1,0,38,30,0,0,31,41,81,70,46,67
2004-08-01,0,0,0,0,0,12,42,0,0,0,13,47,0,4,28,29,31,37,73,60,36,25,11,67,47,81,87,100,11,4,1,28,43,35,0,0,32,65,66,79,36,61
2004-09-01,0,0,0,0,0,0,33,17,0,0,34,48,0,6,18,42,37,45,64,69,36,22,51,72,71,74,84,56,13,1,1,26,0,40,6,4,30,57,38,79,38,54
2004-10-01,0,0,4,35,0,27,40,33,0,0,31,46,0,4,35,87,34,41,41,58,38,25,34,72,69,85,69,35,12,3,1,0,0,100,13,2,28,66,25,79,40,58
