date,Rappi,Dominos,Crepes & wafles,Home,Corral,Presto,Frisby,Kokoriko,Papa Johns,Qbano,hotel,hoteles,hostales,Booking,Trivago,Estelar,On Vacations,Decameron,Hilton,Holiday inn,Ibis,Domicilio,Despegar,Avianca,Latam,Satena,Airbnb,Subway,Aviatur,catering,google flights,restaurante,restaurantes,marriot,dolar,prestamo
2004-01-01,9,0,0,65,36,100,0,71,0,0,46,82,26,0,0,84,100,57,84,75,100,0,8,16,9,24,0,0,59,0,0,11,49,62,6,0
2004-02-01,0,0,100,53,35,47,13,32,0,0,35,65,26,0,17,36,0,21,67,70,30,10,0,9,4,11,0,0,41,0,0,8,42,0,7,22
2004-03-01,0,0,53,41,62,0,0,76,100,0,39,55,31,0,8,51,0,37,40,52,0,9,3,14,2,9,7,0,33,17,22,6,30,65,5,60
2004-04-01,0,0,0,56,69,34,0,72,0,0,40,52,0,0,5,40,0,41,69,58,0,6,6,15,5,13,0,6,14,37,0,10,36,0,4,33
2004-05-01,0,6,24,45,16,12,0,30,0,0,34,58,31,0,0,78,0,56,43,0,33,2,2,16,2,17,0,0,28,0,0,9,36,23,4,47
2004-06-01,0,0,0,48,0,40,6,63,32,0,52,88,22,0,0,60,31,66,58,0,43,6,0,24,0,18,0,0,58,0,0,8,24,47,3,21
2004-07-01,0,0,0,58,34,0,0,0,0,0,50,65,59,10,0,52,0,75,65,37,46,6,4,22,0,34,0,8,58,42,0,11,32,29,3,50
2004-08-01,0,7,32,42,29,15,6,0,0,0,39,60,29,0,0,62,0,48,48,0,0,8,3,19,2,9,8,0,54,0,0,12,28,40,4,15
2004-09-01,0,0,0,49,41,52,5,31,0,0,39,54,22,9,0,44,0,52,45,0,33,5,0,19,0,17,4,12,31,13,0,9,39,21,4,51
2004-10-01,4,13,0,39,0,20,0,47,0,0,41,61,32,7,0,47,0,59,57,0,15,6,6,19,4,17,0,5,44,0,0,10,30,25,3,28
2004-11-01,0,7,0,53,34,37,7,57,0,17,48,76,21,0,0,67,0,55,39,54,47,9,8,25,5,8,0,0,46,17,0,13,34,100,5,45
2004-12-01,0,0,0,72,36,0,20,0,0,0,57,93,100,0,0,40,0,38,62,28,0,8,7,31,0,31,0,9,50,100,13,14,51,54,6,0
2005-01-01,0,6,0,61,32,0,0,0,0,0,60,96,48,0,0,48,0,99,79,0,37,5,6,30,3,13,0,9,87,0,9,16,41,0,5,33
2005-02-01,0,5,37,49,44,51,15,0,0,17,43,65,29,8,0,47,0,47,64,22,0,8,5,23,3,11,0,19,56,0,0,13,34,23,5,23
2005-03-01,0,0,0,43,29,19,0,30,0,0,44,70,44,0,0,68,25,48,66,49,0,5,6,21,0,9,0,5,41,22,9,10,32,39,4,37
2005-04-01,0,0,0,51,35,24,9,42,27,0,40,56,29,0,0,33,0,56,56,19,30,12,3,21,2,11,0,0,46,22,6,9,28,29,4,24
2005-05-01,2,6,17,31,54,18,11,30,0,0,44,65,23,0,0,38,0,61,78,38,25,6,11,24,4,12,0,0,56,0,5,12,37,31,3,15
2005-06-01,4,0,0,49,41,11,4,41,0,0,53,81,33,0,0,0,0,64,98,100,36,7,1,26,5,17,0,10,59,0,0,15,28,58,3,47
2005-07-01,5,0,0,48,53,17,8,31,0,11,55,76,35,0,0,43,0,75,79,30,0,7,5,28,0,30,0,4,83,21,0,12,41,27,4,52
2005-08-01,0,4,0,41,65,43,6,71,0,0,46,69,44,7,0,51,0,46,51,0,0,4,4,27,2,19,0,8,55,8,0,11,31,38,4,37
2005-09-01,0,3,0,46,57,28,3,32,0,0,48,71,27,8,0,35,22,58,61,11,35,8,5,23,3,15,15,3,51,14,4,13,35,17,5,23
2005-10-01,0,3,11,33,37,12,7,93,0,0,50,71,40,0,0,43,0,49,51,15,12,7,5,22,3,12,0,6,48,0,0,11,35,26,4,37
2005-11-01,0,3,0,41,28,12,6,38,0,9,52,82,28,0,0,13,0,47,48,26,16,6,5,24,5,26,0,2,81,10,0,16,37,42,4,63
2005-12-01,0,4,0,43,30,23,0,34,0,0,61,100,64,5,0,70,0,58,64,49,34,5,5,33,3,33,0,0,70,0,0,19,38,69,4,10
2006-01-01,0,4,0,49,25,16,8,76,0,0,60,98,40,0,0,33,0,78,54,0,19,6,4,33,4,22,4,3,100,33,0,14,40,43,4,15
2006-02-01,0,7,20,39,28,22,6,0,0,7,43,57,21,2,0,26,0,46,58,31,11,4,5,28,1,21,6,4,57,16,0,12,32,0,3,24
2006-03-01,0,5,0,41,44,20,6,33,0,0,49,66,39,0,0,47,0,51,48,28,28,5,4,28,3,17,3,2,51,8,0,15,38,27,4,34
2006-04-01,0,3,0,41,39,0,0,47,11,20,48,63,25,0,0,29,0,61,51,29,25,3,6,24,3,19,0,8,40,12,0,14,31,28,4,16
2006-05-01,0,7,0,37,50,16,5,35,7,0,42,56,21,0,0,26,0,64,42,36,7,5,4,26,3,15,0,6,47,14,0,15,33,28,4,32
2006-06-01,2,8,8,49,41,24,8,60,0,0,58,77,33,0,3,45,13,67,51,33,57,8,6,34,1,17,0,4,69,9,0,14,34,38,5,33
2006-07-01,0,0,0,40,47,14,9,68,19,0,59,77,41,0,3,35,32,74,59,52,0,7,6,34,2,27,0,0,55,0,0,17,34,33,5,29
2006-08-01,0,5,0,40,48,22,8,34,0,0,52,64,20,0,0,46,0,65,57,33,20,4,4,27,4,27,2,2,56,9,0,13,33,25,4,35
2006-09-01,1,3,0,40,37,0,5,25,0,0,47,60,22,0,0,26,0,56,58,37,0,6,4,28,2,21,5,2,50,12,0,17,32,35,4,23
2006-10-01,0,4,14,43,35,28,9,21,0,0,52,73,40,0,0,49,0,63,59,17,15,5,6,31,3,35,0,4,64,16,0,16,39,38,4,47
2006-11-01,0,6,0,42,40,22,6,43,0,0,54,66,41,4,5,19,0,54,57,42,19,6,4,30,3,26,0,2,42,6,0,18,34,25,4,37
