date,Computador,Zapatos,Tenis,Arturo Calle,H&M,isPartial,Zara,Stradivarius,Gef,Leonisa,Punto blanco,isPartial,naf naf,Falabella,Homecenter,Mercado libre,Éxito,isPartial,Jumbo,Chevrolet,Mazda,Renault,Toyota,isPartial,Honda,Hyundai,Carros usados,Carro,Crédito,isPartial,Juguetes,Utiles,Celular,Adidas,Nike,isPartial,San Andresito,El hueco,San Victorino,Electrodomésticos,Nevera,isPartial,Secador,Plancha,Airfryer,Lavadora,televisor,isPartial,asador,plasma,led,reloj,perfume,isPartial,medias,ropa interior,boxers,vestidos de baño,Decathlon,isPartial,Portatil,Apple,Iphone,samsumg,parlante,isPartial,Alkosto,Ktronix,cerveza,aguardiente,whisky,isPartial,vino,poker,aguila,antioqueño,licores,isPartial,hotel,hoteles,smartphone,restaurante,corabastos,isPartial,licor,viaje,dolar,prestamo,importar,isPartial,exportar,isPartial
2020-08-02,7,10,21,0,30,False,53,7,0,1,0,False,2,31,8,100,1,False,13,21,22,27,74,False,97,35,1,27,5,False,3,0,33,34,71,False,2,5,2,19,74,False,11,33,18,34,13,False,1,10,74,8,27,False,4,3,4,0,95,False,1,32,55,0,0,False,19,4,39,1,46,False,49,55,8,1,2,False,82,3,3,7,0,False,0,1,17,1,0,False,75,False
2020-08-09,7,9,22,0,29,False,51,6,0,1,0,False,2,34,8,100,1,False,14,22,22,26,71,False,93,36,1,27,5,False,3,0,33,35,68,False,3,5,2,17,72,False,10,32,18,33,13,False,1,9,72,8,26,False,4,3,4,0,90,False,1,32,56,0,0,False,17,3,31,1,42,False,51,53,9,1,2,False,79,3,3,7,0,False,0,1,15,1,0,False,76,False
2020-08-16,7,9,22,0,29,False,59,6,0,1,0,False,2,31,9,93,1,False,13,22,22,25,71,False,93,36,1,26,5,False,3,0,33,34,68,False,2,6,2,18,69,False,11,31,20,32,15,False,1,10,74,8,26,False,4,3,4,0,85,False,1,34,55,0,0,False,17,3,31,1,44,False,50,55,8,1,2,False,80,3,3,8,0,False,0,1,14,1,0,False,73,False
2020-08-23,6,10,25,0,32,False,52,6,0,1,0,False,2,27,8,88,1,False,13,22,20,25,69,False,90,34,1,26,5,False,3,0,30,34,74,False,2,6,1,17,65,False,11,28,19,32,13,False,1,12,69,8,26,False,4,3,4,0,77,False,1,33,53,0,0,False,15,3,32,1,43,False,50,57,9,1,2,False,72,2,3,7,0,False,0,1,12,1,0,False,75,False
2020-08-30,7,10,25,0,33,False,54,6,0,1,0,False,2,45,9,89,1,False,13,21,20,28,74,False,90,37,1,26,5,False,3,0,30,35,70,False,2,7,2,18,60,False,10,28,18,33,13,False,1,10,75,9,29,False,4,3,5,0,79,False,1,35,51,0,0,False,15,3,32,1,46,False,49,54,8,1,2,False,72,2,3,8,0,False,0,1,13,0,0,False,75,False
2020-09-06,6,10,26,0,31,False,55,7,0,1,0,False,2,25,7,84,1,False,12,21,21,25,70,False,91,35,1,25,5,False,2,0,31,34,65,False,2,7,1,16,57,False,9,28,18,30,13,False,1,11,74,9,27,False,5,3,4,0,72,False,1,34,54,0,0,False,13,3,31,1,46,False,50,51,9,0,2,False,69,2,3,8,0,False,0,1,12,1,0,False,76,False
2020-09-13,6,10,26,0,31,False,55,7,0,1,0,False,2,24,6,79,1,False,13,22,20,25,71,False,87,35,1,27,5,False,2,0,30,31,63,False,2,6,1,16,55,False,9,25,16,29,12,False,1,11,72,8,28,False,4,3,4,0,70,False,1,48,58,0,0,False,12,3,31,1,46,False,50,49,10,1,2,False,64,2,3,7,0,False,0,1,14,0,0,False,76,False
2020-09-20,6,10,26,0,33,False,60,7,0,1,0,False,2,23,6,80,1,False,12,22,20,25,70,False,84,33,1,26,5,False,2,0,29,32,65,False,2,6,1,17,51,False,10,23,18,30,12,False,1,11,73,9,28,False,5,3,4,0,71,False,1,40,61,0,0,False,12,2,31,1,48,False,48,48,11,0,2,False,60,2,2,8,0,False,0,1,13,0,0,False,79,False
2020-09-27,6,11,28,0,37,False,62,8,0,1,0,False,2,24,6,84,1,False,12,21,20,26,66,False,88,33,1,26,5,False,2,0,29,32,66,False,2,5,1,18,52,False,9,23,18,30,13,False,1,10,74,9,29,False,5,3,4,0,71,False,1,35,55,0,0,False,12,2,30,1,45,False,50,48,12,0,2,False,64,2,3,8,0,False,0,1,15,0,0,False,74,False
2020-10-04,5,11,34,0,36,False,65,8,0,1,0,False,2,22,6,78,1,False,12,21,19,26,67,False,85,33,1,27,5,False,2,0,30,31,64,False,2,5,1,16,49,False,9,22,17,30,12,False,1,10,77,9,28,False,5,3,4,0,65,False,1,35,54,0,0,False,11,2,31,1,46,False,50,47,15,0,2,False,70,2,2,7,0,False,0,1,14,1,0,False,73,False
