date,Comida y bebida,comida rápida,servicios de comida,café y té,hotel,restaurante,hoteles,restaurantes,vuelos,Chevrolet,Mazda,Renault,Toyota,Honda,Hyundai,Usados,Carro,Crédito,Juguetes,Mercado libre,falabella,Homecenter,Éxito,Jumbo,Carulla,celular,Celulares,Ropa,Tenis,Zapatos,Nevera,Secador,Plancha,Airfryer,Lavadora,televisor,Portatil,Computador,Apple,Iphone,samsumg,parlante,Alkosto,Ktronix,cerveza,aguardiente,whisky,vino,poker,aguila,antioqueño,licor,licores,smartphone,viaje,prestamo
2004-01-01,0,0,0,0,44,8,76,45,5,57,70,73,36,61,61,26,15,0,13,7,0,2,0,0,53,34,61,45,31,12,14,0,70,0,9,11,18,53,8,0,46,28,4,4,20,7,23,18,19,3,51,31,29,0,78,89
2004-02-01,0,0,0,0,32,6,63,39,2,48,48,39,47,34,36,48,18,20,25,5,0,2,0,0,23,38,41,47,26,14,0,61,12,0,13,23,30,100,4,0,17,0,2,0,31,8,8,30,9,4,57,45,58,0,64,0
2004-03-01,100,0,75,0,40,7,52,28,3,48,64,51,63,39,16,49,13,10,18,4,0,2,0,2,64,35,50,51,25,12,14,0,28,0,17,43,14,83,5,0,0,38,2,0,37,4,0,29,22,3,60,64,64,0,78,0
2004-04-01,0,0,100,0,37,8,53,25,4,45,59,48,54,44,50,37,19,25,14,7,0,4,0,0,81,31,61,49,27,8,0,25,33,56,14,47,9,61,3,0,20,12,3,0,38,8,0,35,23,2,65,27,49,0,53,27
2004-05-01,0,28,0,0,32,9,58,35,3,46,62,43,50,43,12,44,21,15,21,7,0,5,9,0,84,26,45,51,35,15,11,37,35,51,10,46,22,52,3,0,30,0,2,0,33,9,0,37,13,3,72,22,47,0,44,24
2004-06-01,0,0,0,100,50,10,81,30,7,37,42,59,52,43,35,37,15,23,25,9,0,5,7,2,39,25,52,60,29,15,17,40,13,0,9,22,23,45,4,0,33,27,2,0,19,6,27,23,26,3,56,23,46,0,62,0
2004-07-01,0,0,53,0,46,10,67,38,8,56,59,63,62,52,28,43,21,7,20,8,0,3,5,0,79,26,64,58,32,11,12,20,33,0,20,24,26,47,4,1,64,0,4,0,26,6,12,29,26,3,75,22,81,40,76,100
2004-08-01,0,100,100,0,36,13,61,27,4,42,58,47,36,41,35,42,20,9,20,6,0,3,7,0,70,36,57,54,35,16,14,19,9,0,8,36,20,60,3,0,19,0,2,0,39,6,0,25,22,3,100,27,62,0,60,22
2004-09-01,0,0,0,0,38,11,54,42,5,54,66,57,36,34,25,42,16,13,19,5,0,5,6,0,61,37,64,49,35,13,13,0,30,0,15,27,15,53,4,0,17,10,3,3,100,13,16,26,19,3,61,42,67,9,60,24
2004-10-01,0,27,0,0,40,9,58,33,3,60,65,57,32,39,28,41,17,24,25,7,1,3,6,2,82,30,61,53,25,19,7,19,9,0,0,31,22,48,4,0,84,0,4,0,76,5,51,26,24,3,47,21,49,0,70,40
2004-11-01,0,0,0,0,43,12,73,30,3,62,65,57,42,35,48,39,19,25,40,7,0,5,0,1,61,29,65,59,25,14,9,35,0,0,15,45,9,45,4,0,28,29,2,0,27,15,11,15,42,2,66,29,70,0,58,34
2004-12-01,50,80,0,0,54,17,97,48,9,82,76,70,54,48,55,60,19,27,63,10,1,6,10,1,72,38,84,68,28,19,9,40,14,0,5,25,21,33,9,0,0,0,6,7,30,11,29,17,51,3,22,78,100,0,62,21
2005-01-01,0,0,90,0,57,14,93,39,7,82,58,59,47,49,48,58,26,11,29,9,0,3,25,0,100,38,90,53,26,19,12,18,35,0,0,12,28,39,6,0,100,0,4,5,26,9,10,20,59,4,52,47,32,0,87,28
2005-02-01,0,0,0,0,41,11,61,32,5,57,68,64,38,39,31,42,20,20,19,7,0,3,8,1,86,52,77,50,21,8,9,0,22,0,6,46,22,86,5,1,69,27,3,2,31,9,9,26,42,4,46,21,64,0,50,19
2005-03-01,27,0,64,0,41,9,65,29,6,49,51,53,46,41,39,40,19,19,16,7,0,3,10,0,96,44,80,51,27,14,10,32,15,0,13,34,22,63,4,0,50,8,3,4,51,3,14,24,37,7,49,16,27,0,64,31
2005-04-01,0,0,0,0,37,9,56,27,5,58,54,53,57,46,42,45,20,19,15,11,1,3,3,0,88,47,94,51,21,12,8,33,0,0,6,33,23,54,5,0,39,0,2,2,46,14,8,25,50,5,63,16,42,0,63,17
2005-05-01,0,0,0,0,39,13,65,33,5,58,48,64,52,42,28,46,19,24,14,10,1,3,0,0,70,41,80,52,29,16,13,63,12,0,5,41,20,42,6,0,65,10,3,5,33,6,8,25,39,4,41,31,35,0,56,20
2005-06-01,30,0,36,0,51,14,81,27,6,54,42,57,27,40,55,49,20,10,17,11,1,5,9,0,73,37,69,50,28,17,9,0,15,0,7,23,25,44,7,0,29,0,5,6,34,8,13,22,61,4,29,37,43,0,62,32
2005-07-01,0,0,0,0,52,11,75,37,7,76,58,80,35,40,57,44,24,10,13,13,1,7,3,0,72,42,78,55,25,12,5,29,25,0,8,31,30,39,6,0,68,0,4,1,43,8,7,16,45,4,44,16,31,0,72,34
2005-08-01,18,0,0,74,44,10,69,33,6,53,48,63,41,33,45,42,19,18,19,14,1,5,3,1,83,42,77,47,29,11,11,24,12,18,14,31,20,54,5,0,42,20,5,4,41,9,5,20,38,3,70,15,45,0,69,24
2005-09-01,0,0,0,0,42,13,66,34,6,78,52,67,43,51,44,48,20,16,15,11,1,4,5,1,65,36,74,46,35,16,16,14,12,0,7,26,22,49,5,0,67,0,3,1,46,7,3,22,26,13,25,38,42,8,52,17
2005-10-01,0,0,0,0,48,11,71,31,4,68,48,57,36,37,34,41,21,20,22,11,1,4,4,1,60,38,69,52,28,15,10,17,28,29,13,30,22,42,7,0,14,19,3,2,49,10,4,25,28,16,43,27,38,0,54,23
2005-11-01,0,0,0,0,50,16,82,36,5,66,40,67,43,39,34,36,24,15,31,16,1,6,5,2,95,36,76,47,25,13,7,27,17,0,4,27,29,35,7,0,73,0,3,4,33,7,7,25,44,5,36,24,54,8,57,32
2005-12-01,0,73,0,0,58,18,98,33,8,82,43,64,43,53,52,46,23,15,42,21,2,5,4,0,74,41,97,56,30,18,5,19,8,0,12,17,31,30,10,2,54,11,7,7,28,5,22,18,45,4,16,44,26,11,61,34
2006-01-01,0,0,40,0,56,15,100,43,8,92,65,73,56,63,79,59,26,18,8,20,2,5,9,4,63,43,86,46,28,13,7,30,16,52,6,23,33,32,10,0,51,11,5,0,18,3,14,16,33,3,21,28,34,17,65,13
