date,cine,cinecolombia,cinemark,cinepolis,royalfilms,procinal,internet,tigo,claro,movistar,wom,plan de datos,etb,direct tv,feria del libro,filbo,novelas_x,rcn,caracol,noticias ,radio,programacion ,desarrollo web,software,drive,inteligencia artificial,páginas web,marketing  digital,rappi,apps,python,novelas_y,hotel,hoteles
2004-01-01,44,30,12,0,0,12,95,0,0,0,0,0,55,100,0,0,24,17,17,28,48,63,0,100,56,29,0,0,0,0,0,24,46,83
2004-02-01,30,16,0,0,0,0,100,0,0,0,0,0,36,0,0,0,25,14,15,31,44,96,0,97,30,71,0,0,0,0,11,25,32,62
2004-03-01,36,17,8,0,0,0,98,0,0,0,0,0,51,0,0,0,26,16,17,34,48,85,0,90,31,100,0,0,0,0,0,26,36,62
2004-04-01,39,13,5,0,0,0,96,0,0,0,0,0,53,0,100,0,57,20,20,31,51,89,0,89,33,56,89,0,0,0,0,57,37,58
2004-05-01,34,17,7,0,0,0,93,0,0,0,0,0,44,0,30,0,32,20,19,34,45,67,0,78,30,65,74,0,0,0,12,32,32,58
2004-06-01,40,26,12,0,0,9,94,0,1,0,0,0,52,0,0,0,30,23,25,29,51,69,100,86,37,37,100,0,0,0,10,30,46,86
2004-07-01,43,30,11,0,0,9,96,0,0,0,0,0,61,0,0,0,28,25,25,30,54,70,0,84,34,35,0,0,0,0,12,28,41,78
2004-08-01,34,19,8,0,0,5,95,0,1,0,0,0,51,0,0,0,38,20,20,35,55,100,0,88,23,70,83,0,0,0,0,38,36,69
2004-09-01,35,18,6,0,0,0,93,0,1,0,0,0,48,0,0,0,30,19,18,34,52,77,72,80,37,56,60,0,0,0,16,30,34,56
2004-10-01,36,20,8,0,0,0,98,0,1,0,0,0,52,0,0,0,30,19,19,30,54,96,0,78,25,60,0,0,0,0,0,30,37,64
2004-11-01,37,22,12,0,0,9,93,0,1,0,0,0,61,43,0,0,22,19,20,29,54,77,0,80,29,44,0,0,0,0,0,22,43,79
2004-12-01,38,33,21,0,0,8,84,0,1,0,0,0,58,0,0,0,29,24,22,31,64,67,0,78,43,15,0,0,0,0,0,29,51,100
2005-01-01,35,27,11,0,100,18,89,0,1,0,0,0,74,0,0,0,24,26,23,32,58,49,0,75,51,20,85,0,0,0,0,24,52,98
2005-02-01,31,16,9,0,0,6,94,0,1,0,0,0,61,38,0,0,27,22,19,33,52,84,0,85,28,46,66,0,0,0,12,27,38,67
2005-03-01,33,19,12,0,0,9,92,0,1,2,0,0,49,46,12,0,25,23,24,32,59,75,88,85,33,49,53,0,0,0,9,25,40,72
2005-04-01,29,20,11,0,0,7,86,0,1,100,0,0,57,47,91,0,53,31,29,40,56,67,82,78,34,56,0,0,0,0,11,53,33,58
2005-05-01,34,20,12,0,0,7,85,0,1,75,0,0,62,48,23,0,55,29,25,35,61,63,100,72,31,58,0,0,0,0,7,55,40,62
2005-06-01,38,31,17,0,0,11,86,0,1,75,0,0,72,47,0,0,30,40,34,30,71,60,63,71,34,21,0,0,0,0,7,30,50,84
2005-07-01,36,33,21,0,0,14,80,0,1,73,0,0,69,42,0,0,37,37,28,30,67,62,0,69,32,17,0,0,0,0,7,37,49,78
2005-08-01,33,26,15,0,0,9,83,0,1,66,0,0,66,27,0,0,30,36,21,34,67,78,52,74,33,46,55,0,0,0,12,30,44,68
2005-09-01,31,18,13,0,0,9,80,0,1,62,0,0,79,32,6,0,37,36,21,35,62,64,0,72,27,39,54,0,0,0,11,37,44,67
2005-10-01,35,28,13,0,0,6,77,0,1,60,0,0,81,22,4,0,30,38,21,34,65,72,59,69,29,37,41,0,0,0,5,30,48,78
2005-11-01,34,32,24,0,0,13,87,0,1,63,0,0,76,48,0,0,28,40,20,30,64,52,51,66,27,36,50,0,0,0,12,28,50,87
2005-12-01,38,43,28,0,0,19,68,0,1,82,0,0,100,46,0,0,26,54,24,25,73,52,0,67,35,16,0,0,0,0,17,26,54,96
2006-01-01,44,53,32,0,0,23,71,0,2,74,0,0,87,52,0,0,33,55,29,29,77,44,0,65,33,8,0,0,0,0,8,33,56,99
2006-02-01,29,22,18,0,0,10,78,0,1,58,0,0,79,35,0,0,28,38,23,35,74,64,82,67,29,37,44,0,0,0,11,28,41,60
2006-03-01,30,26,24,0,0,11,77,0,1,58,0,0,73,31,8,0,47,40,24,37,66,58,79,66,28,34,28,0,0,0,10,47,45,68
2006-04-01,34,35,30,0,0,15,74,0,1,72,0,0,80,39,72,0,73,37,24,31,74,68,62,59,24,25,45,0,0,0,10,73,44,69
2006-05-01,37,45,34,0,0,17,75,0,1,71,0,0,81,46,37,0,96,41,28,39,75,51,82,57,26,23,36,0,0,0,13,96,41,57
2006-06-01,35,41,37,0,0,22,84,1,1,78,0,0,86,43,0,0,36,41,30,31,81,68,53,54,25,15,0,0,0,0,9,36,54,78
2006-07-01,36,50,46,0,44,26,78,0,1,66,0,0,91,38,0,0,37,38,26,32,79,63,0,55,25,14,0,0,0,0,7,37,56,80
2006-08-01,32,35,40,0,28,15,72,0,1,49,0,0,79,28,0,0,29,29,26,34,70,72,44,55,23,25,0,0,0,0,11,29,50,70
2006-09-01,28,25,31,0,0,12,71,0,1,52,0,0,75,33,3,0,28,31,26,35,70,50,51,55,22,26,28,0,0,12,11,28,48,65
2006-10-01,33,37,33,0,0,15,71,1,1,43,0,0,78,41,0,0,35,27,24,33,70,50,41,48,23,22,26,0,0,0,12,35,49,73
2006-11-01,31,34,35,0,0,19,69,12,1,42,0,0,81,24,0,0,25,29,19,29,68,40,31,51,22,20,39,0,0,0,11,25,52,74
2006-12-01,36,46,44,0,36,25,66,88,1,58,0,0,82,50,0,0,22,31,24,26,77,35,0,46,26,6,0,0,0,0,7,22,50,87
2007-01-01,42,57,48,0,0,25,60,82,1,53,0,0,89,66,2,0,27,30,25,30,70,37,57,46,25,5,40,0,0,0,7,27,54,85
2007-02-01,32,36,32,0,25,17,65,73,1,42,0,0,75,55,4,0,25,27,21,33,76,46,26,47,21,20,0,0,0,10,7,25,43,58
2007-03-01,34,38,33,0,0,15,66,83,1,47,0,0,69,44,11,0,56,36,21,29,77,42,44,46,23,17,18,0,0,7,7,56,50,65
2007-04-01,37,54,43,0,33,24,61,87,2,48,0,0,82,67,99,0,100,33,22,31,79,41,38,43,21,16,21,0,0,9,7,100,41,58
2007-05-01,34,57,43,0,28,20,64,100,1,52,0,0,69,35,21,0,32,31,27,30,81,36,51,41,21,16,27,0,0,8,10,32,38,56
2007-06-01,36,63,51,0,45,25,65,81,2,44,0,0,80,36,2,0,29,34,29,33,80,36,31,39,23,10,0,0,0,8,6,29,44,78
2007-07-01,50,100,79,0,67,40,59,73,2,43,0,14,75,41,0,0,36,32,29,32,81,44,24,40,22,9,21,0,0,10,7,36,46,70
2007-08-01,29,41,43,0,33,21,62,65,2,39,0,0,75,28,3,0,32,36,26,39,76,75,48,41,22,17,0,0,0,11,7,32,40,62
2007-09-01,24,27,25,0,18,12,66,60,2,36,0,11,78,34,4,0,38,34,24,34,77,45,17,41,24,16,16,0,0,16,7,38,39,59
2007-10-01,27,33,31,0,25,14,67,61,2,36,0,0,69,33,2,0,26,31,29,35,81,50,26,36,19,15,19,0,0,13,5,26,43,62
2007-11-01,26,37,35,0,21,15,64,69,2,44,0,11,71,24,3,0,24,36,27,36,76,45,48,36,19,13,21,0,0,13,7,24,43,60
2007-12-01,34,50,49,0,47,24,49,71,2,55,0,0,75,36,2,0,23,40,28,32,82,37,24,33,24,4,0,0,0,18,5,23,44,67
2008-01-01,39,65,58,0,52,34,53,65,2,47,0,0,94,53,2,0,24,42,32,44,88,36,27,34,21,3,0,0,0,17,4,24,50,74
2008-02-01,27,39,33,0,30,17,63,57,2,36,0,0,78,34,2,0,20,34,28,40,81,42,29,40,18,14,18,0,0,15,6,20,41,57
2008-03-01,29,41,38,0,38,24,61,59,2,33,0,10,72,30,6,0,32,42,34,61,93,52,27,34,19,15,15,0,0,15,6,32,41,56
2008-04-01,24,32,26,1,30,15,61,69,2,36,0,0,67,27,54,0,50,30,24,44,79,37,36,34,19,14,14,0,0,17,6,50,44,52
2008-05-01,28,42,32,13,38,21,58,64,2,35,0,0,59,23,31,0,52,29,25,42,76,33,26,32,18,12,15,0,0,17,5,52,42,53
