date,el empleo,desempleo,industria,comercio,isPartial,paro,inflacion,tasa de cambio,dolar ,isPartial,credito,precios,compra,tasa de interes,isPartial,riesgo politico,petroleo,elecciones,manifestaciones,isPartial,inversion,crisis economica,clima,lluvias,isPartial,derrumbes,prima de riesgo,incertidumbre,fenomeno del niño,isPartial,construcción,carbon,café,hoteles,isPartial,restaurantes,turismo,vuelos,cine,isPartial,apuestas,apuestas en línea,arriendo,poliza,isPartial,eps,concierto,carnes,corabastos,isPartial,cultivos,gasolina,diesel,fenomeno de la niña,isPartial
2020-08-02,9,20,26,91,False,1,0,0,17,False,99,84,82,2,False,0,0,0,0,False,0,0,69,0,False,3,18,46,9,False,6,69,50,46,False,22,20,19,24,False,45,0,74,6,False,79,15,18,1,False,1,12,59,0,False
2020-08-09,9,20,27,90,False,0,0,0,15,False,93,84,80,2,False,0,0,0,0,False,1,0,68,0,False,4,19,54,10,False,6,67,49,46,False,23,20,20,25,False,50,0,49,6,False,79,16,18,0,False,1,12,56,0,False
2020-08-16,9,19,26,86,False,0,0,0,14,False,86,82,79,2,False,0,0,1,0,False,1,0,84,0,False,5,19,52,10,False,6,71,50,43,False,23,19,19,26,False,54,0,52,6,False,74,16,17,0,False,1,12,57,0,False
2020-08-23,10,18,30,87,False,1,0,0,12,False,88,82,75,2,False,0,0,0,0,False,1,0,76,0,False,5,18,55,11,False,7,77,47,39,False,21,17,20,26,False,51,0,50,6,False,74,15,17,0,False,1,12,57,0,False
2020-08-30,11,19,33,90,False,1,0,0,13,False,89,83,81,2,False,0,0,0,0,False,1,0,73,0,False,5,17,62,16,False,7,81,46,39,False,21,18,24,26,False,46,0,48,6,False,74,16,18,1,False,1,13,59,0,False
2020-09-06,10,17,30,90,False,1,0,0,12,False,88,79,77,2,False,0,0,1,0,False,1,0,75,0,False,5,16,58,16,False,7,84,47,37,False,23,19,22,26,False,49,0,46,6,False,76,15,19,1,False,1,12,60,0,False
2020-09-13,10,15,31,93,False,1,0,0,14,False,83,81,76,2,False,0,0,1,0,False,1,0,70,0,False,6,18,55,11,False,7,89,48,34,False,20,19,22,22,False,50,0,42,6,False,74,16,19,0,False,1,12,55,0,False
2020-09-20,11,16,32,97,False,1,0,0,13,False,82,80,79,2,False,0,0,1,0,False,1,0,64,0,False,5,17,63,12,False,7,88,44,34,False,19,18,23,25,False,56,0,50,7,False,73,21,17,0,False,1,12,56,0,False
2020-09-27,11,17,31,90,False,1,0,0,15,False,90,81,75,2,False,0,0,1,0,False,1,0,65,0,False,4,16,66,11,False,8,88,46,38,False,19,20,23,30,False,54,0,47,7,False,74,15,16,0,False,1,12,56,0,False
2020-10-04,10,16,28,86,False,1,0,0,14,False,93,81,75,2,False,0,0,1,0,False,1,0,64,0,False,6,16,58,10,False,8,87,46,39,False,21,19,24,26,False,53,0,43,6,False,79,17,17,0,False,1,12,55,0,False
2020-10-11,9,14,26,88,False,0,0,0,13,False,81,80,69,2,False,0,0,1,0,False,1,0,63,0,False,7,16,53,9,False,7,80,46,37,False,22,18,24,26,False,55,0,44,6,False,76,15,17,0,False,1,12,53,0,False
2020-10-18,11,15,30,93,False,1,0,0,14,False,84,82,75,2,False,0,0,3,0,False,1,0,65,0,False,7,16,55,11,False,8,81,44,33,False,17,18,23,25,False,58,0,45,6,False,77,14,17,0,False,1,12,57,0,False
2020-10-25,10,15,29,83,False,0,0,0,19,False,85,81,71,2,False,0,0,2,0,False,1,0,70,0,False,8,18,54,12,False,8,75,43,31,False,18,19,21,25,False,57,0,45,6,False,80,18,17,0,False,1,13,54,0,False
2020-11-01,8,14,25,84,False,1,0,0,19,False,77,77,70,2,False,0,0,100,0,False,0,0,54,0,False,10,17,49,12,False,7,72,37,28,False,16,17,20,23,False,57,0,42,5,False,75,15,15,0,False,1,11,48,0,False
2020-11-08,9,15,30,93,False,0,0,0,32,False,85,85,71,2,False,0,0,8,0,False,1,0,62,0,False,10,21,55,20,False,8,81,41,34,False,17,19,23,23,False,58,0,48,6,False,77,14,16,0,False,1,12,53,0,False
2020-11-15,8,14,27,89,False,1,0,0,20,False,85,83,74,2,False,0,0,2,0,False,1,0,61,0,False,11,19,48,14,False,7,77,41,32,False,17,21,21,23,False,55,0,45,6,False,71,15,16,0,False,1,12,55,0,False
2020-11-22,9,13,28,88,False,1,0,0,18,False,87,81,82,2,False,0,0,1,0,False,1,0,60,0,False,7,21,45,12,False,8,77,41,33,False,16,20,21,23,False,64,0,44,6,False,73,17,17,0,False,1,12,55,0,False
2020-11-29,8,14,26,84,False,1,0,0,15,False,87,81,77,2,False,0,0,1,0,False,1,0,67,0,False,6,17,46,9,False,7,80,42,31,False,18,20,21,21,False,62,0,44,6,False,76,16,16,0,False,1,12,56,0,False
2020-12-06,7,12,23,82,False,0,0,0,14,False,82,83,72,2,False,0,0,2,0,False,1,0,63,0,False,5,16,40,9,False,7,81,42,34,False,19,19,21,24,False,70,0,38,6,False,76,15,19,0,False,1,12,56,0,False
2020-12-13,8,13,22,73,False,0,0,0,14,False,84,82,73,1,False,0,0,1,0,False,1,0,64,0,False,5,16,38,9,False,6,75,38,33,False,19,17,21,24,False,58,0,38,6,False,78,16,20,0,False,1,12,54,0,False
2020-12-20,5,11,13,66,False,1,0,0,13,False,66,74,61,1,False,0,0,0,0,False,0,0,62,0,False,3,12,25,3,False,4,64,37,32,False,20,16,20,22,False,89,0,32,4,False,70,25,25,0,False,0,12,53,0,False
2020-12-27,5,12,12,62,False,0,0,0,14,False,66,75,64,1,False,0,0,0,0,False,0,0,72,0,False,3,13,23,3,False,4,59,34,37,False,22,17,19,24,False,59,0,43,4,False,69,36,24,0,False,0,12,55,0,False
2021-01-03,8,16,17,75,False,1,0,0,16,False,80,83,67,1,False,0,0,1,0,False,0,0,61,0,False,4,15,25,5,False,5,70,36,37,False,18,18,23,22,False,69,0,61,6,False,88,14,15,0,False,0,12,57,0,False
2021-01-10,9,16,23,73,False,1,0,0,14,False,86,80,70,1,False,0,0,1,0,False,1,0,68,0,False,4,17,32,5,False,6,70,36,34,False,16,18,21,21,False,53,0,54,6,False,88,12,16,0,False,1,12,54,0,False
2021-01-17,9,15,24,76,False,0,0,0,13,False,85,81,75,2,False,0,0,1,0,False,1,0,60,0,False,4,18,36,5,False,6,81,36,34,False,16,18,20,22,False,57,0,54,6,False,89,13,15,0,False,1,12,55,0,False
2021-01-24,10,15,25,84,False,0,0,0,12,False,84,84,74,2,False,0,0,1,0,False,1,0,66,0,False,4,18,37,6,False,6,83,37,35,False,16,18,18,21,False,54,0,52,6,False,84,13,15,0,False,1,12,57,0,False
2021-01-31,9,17,24,81,False,1,0,0,14,False,86,82,70,2,False,0,0,1,0,False,1,0,58,0,False,4,26,37,6,False,7,78,36,31,False,16,17,18,22,False,59,0,49,7,False,90,12,16,0,False,1,13,57,0,False
2021-02-07,9,15,26,84,False,0,0,0,13,False,93,79,70,2,False,0,0,3,0,False,1,0,63,0,False,4,30,41,5,False,7,77,38,36,False,17,19,19,22,False,61,0,51,6,False,83,13,16,0,False,1,14,60,0,False
2021-02-14,9,14,25,81,False,0,0,0,13,False,88,80,66,2,False,0,0,3,0,False,1,0,70,0,False,4,30,37,6,False,7,81,39,36,False,19,18,19,23,False,67,0,49,6,False,82,12,16,0,False,1,15,65,0,False
2021-02-21,10,14,30,86,False,1,0,0,15,False,87,81,72,2,False,0,0,1,0,False,1,0,51,0,False,4,49,41,7,False,7,83,37,36,False,17,19,21,23,False,63,0,50,7,False,85,15,16,0,False,1,18,60,0,False
2021-02-28,9,15,29,91,False,1,0,0,14,False,88,80,73,2,False,0,0,2,0,False,1,0,58,0,False,6,28,51,7,False,8,81,41,39,False,18,19,22,26,False,59,0,47,7,False,86,14,17,0,False,1,18,61,0,False
2021-03-07,9,15,30,87,False,1,0,0,15,False,84,79,72,2,False,0,0,2,0,False,1,0,48,0,False,6,19,46,7,False,8,79,38,42,False,18,19,22,25,False,64,0,46,6,False,90,14,16,0,False,2,18,57,0,False
2021-03-14,9,15,31,88,False,1,0,0,14,False,87,79,71,2,False,0,1,1,0,False,1,0,52,0,False,7,18,43,7,False,8,75,38,42,False,19,18,23,27,False,61,0,47,7,False,87,13,16,0,False,1,16,58,0,False
2021-03-21,9,15,34,92,False,0,0,0,25,False,83,78,72,2,False,0,0,1,0,False,1,0,54,0,False,7,14,48,9,False,8,78,39,45,False,18,18,22,31,False,61,0,42,6,False,83,15,17,0,False,1,15,56,0,False
2021-03-28,6,12,20,85,False,0,0,0,19,False,75,81,67,1,False,0,0,1,0,False,0,0,52,0,False,4,11,31,5,False,6,74,36,49,False,22,17,21,35,False,59,0,39,6,False,75,17,18,0,False,1,14,54,0,False
2021-04-04,9,15,26,81,False,1,0,0,14,False,85,76,74,2,False,0,0,2,0,False,1,0,50,0,False,5,18,44,8,False,7,71,38,41,False,17,17,22,27,False,62,0,43,6,False,89,17,16,0,False,1,13,55,0,False
2021-04-11,9,14,33,95,False,1,0,0,14,False,86,76,73,2,False,0,0,6,0,False,1,0,48,0,False,4,17,48,8,False,8,76,44,40,False,17,18,21,26,False,62,0,42,7,False,84,31,16,0,False,1,14,55,0,False
2021-04-18,10,15,35,92,False,1,0,0,15,False,88,76,77,2,False,0,0,2,0,False,1,0,52,0,False,4,17,50,9,False,9,78,43,42,False,20,20,23,27,False,60,0,42,7,False,86,32,17,0,False,1,13,55,0,False
2021-04-25,9,19,33,93,False,2,0,0,16,False,83,83,75,2,False,0,0,1,0,False,1,0,48,0,False,6,16,48,9,False,8,75,42,40,False,23,18,23,27,False,63,0,41,6,False,80,24,17,0,False,1,14,53,0,False
2021-05-02,9,16,31,85,False,2,0,0,14,False,85,74,72,2,False,0,0,5,0,False,1,0,50,0,False,6,15,45,9,False,8,75,47,41,False,22,18,24,23,False,61,0,42,6,False,80,22,17,0,False,1,14,53,0,False
2021-05-09,9,17,33,85,False,1,0,0,15,False,87,82,78,3,False,0,0,2,0,False,1,0,55,0,False,5,15,47,7,False,8,75,47,48,False,25,21,27,25,False,65,0,43,7,False,86,25,18,0,False,1,17,57,0,False
2021-05-16,9,15,31,78,False,1,0,0,14,False,87,78,74,2,False,0,0,3,0,False,1,0,48,0,False,5,16,44,10,False,8,75,48,48,False,24,21,30,28,False,60,0,43,6,False,74,23,17,0,False,1,15,53,0,False
2021-05-23,9,13,32,78,False,1,0,0,14,False,85,77,78,2,False,0,0,1,0,False,1,0,47,0,False,6,14,40,10,False,9,67,50,47,False,24,18,28,29,False,56,0,45,6,False,83,22,16,0,False,1,14,55,0,False
2021-05-30,9,14,30,81,False,1,0,0,14,False,86,82,76,2,False,0,0,2,0,False,1,0,50,0,False,6,15,43,9,False,8,69,52,51,False,25,20,30,35,False,54,0,51,7,False,86,22,17,0,False,1,14,57,0,False
2021-06-06,9,14,30,100,False,1,0,0,15,False,86,82,72,2,False,0,0,24,0,False,1,0,50,0,False,6,15,47,9,False,8,66,52,54,False,27,19,30,35,False,53,0,48,6,False,83,21,17,0,False,1,14,57,0,False
2021-06-13,9,13,32,83,False,1,0,0,15,False,88,84,80,2,False,0,0,2,0,False,1,0,53,0,False,9,15,47,9,False,8,67,53,56,False,27,20,32,38,False,62,0,45,6,False,80,26,18,0,False,1,14,59,0,False
2021-06-20,9,12,28,74,False,0,0,0,15,False,84,81,71,2,False,0,0,1,0,False,1,0,52,0,False,9,15,40,9,False,8,63,50,58,False,31,21,32,44,False,56,0,45,6,False,84,26,17,0,False,1,14,60,0,False
2021-06-27,9,12,24,72,False,0,0,0,14,False,88,83,72,2,False,0,0,1,0,False,0,0,69,0,False,7,12,33,6,False,7,65,50,60,False,28,20,34,48,False,59,0,48,6,False,85,25,16,0,False,1,14,57,0,False
2021-07-04,8,12,23,70,False,1,0,0,13,False,88,84,69,2,False,0,0,1,0,False,0,0,50,0,False,4,14,31,6,False,7,64,49,61,False,32,21,33,52,False,61,0,48,6,False,80,25,17,0,False,1,16,67,0,False
2021-07-11,8,11,24,70,False,0,0,0,13,False,89,85,72,2,False,0,0,1,0,False,0,0,52,0,False,4,13,32,6,False,7,64,50,63,False,33,23,33,49,False,51,0,46,7,False,85,24,17,0,False,1,14,61,0,False
2021-07-18,7,12,24,70,False,1,0,0,13,False,90,91,73,2,False,0,0,1,0,False,0,0,54,0,False,5,14,32,7,False,7,67,52,64,False,37,24,33,53,False,53,0,55,6,False,81,26,17,0,False,1,14,66,0,False
2021-07-25,7,11,23,72,False,0,0,0,14,False,86,84,68,2,False,0,0,1,0,False,0,0,69,0,False,5,11,29,5,False,7,65,54,56,False,36,21,31,44,False,51,0,54,6,False,80,25,16,0,False,1,14,61,0,False
2021-08-01,7,11,22,68,False,1,0,0,14,False,87,84,69,2,False,0,0,1,0,False,0,0,54,0,False,4,12,31,5,False,6,64,52,61,False,37,21,31,42,False,48,0,51,6,False,75,28,18,0,False,1,14,57,0,False
2021-08-08,7,11,23,67,False,0,0,0,14,False,83,84,72,2,False,0,0,1,0,False,0,0,54,0,False,8,13,36,31,False,7,69,51,62,False,39,21,30,39,False,51,0,51,6,False,75,27,17,0,False,1,16,58,0,False
2021-08-15,7,10,24,72,False,0,0,0,12,False,82,87,68,2,False,0,0,1,0,False,0,0,55,0,False,8,11,45,22,False,7,65,50,60,False,35,21,32,39,False,58,0,51,6,False,71,28,17,0,False,2,16,57,0,False
2021-08-22,8,11,25,71,False,1,0,0,12,False,85,80,70,2,False,0,0,1,0,False,0,0,55,0,False,9,12,40,18,False,7,71,49,54,False,31,21,32,39,False,56,0,49,6,False,77,30,17,0,False,1,18,57,0,False
