date,Empleo,secretaria,asistente,Sodexo,temporal,isPartial,Secop,vigilancia,seguridad,limpieza,mantenimiento,isPartial,Atlas,Aseo,Detección,Jardinería,Escoltas,isPartial,Celador,Publicidad,consultoria,logistica,callcenter,isPartial,contabilidad,arquitectura,bufete,abogado,ingeniería,isPartial,contratar,contratista,logística,Ingeniero,hotel,isPartial,hoteles,economia,elempleo,linkedin,taxi,isPartial,teleperformance,isPartial
2020-08-02,88,70,8,24,36,False,5,5,76,18,10,False,42,2,0,0,0,False,4,80,44,69,4,False,39,42,2,49,15,False,0,0,0,0,82,False,13,7,0,51,35,False,60,False
2020-08-09,84,70,8,20,37,False,6,5,71,18,11,False,45,2,0,0,0,False,4,81,44,67,5,False,40,45,2,50,15,False,0,0,0,0,80,False,13,7,0,53,35,False,63,False
2020-08-16,87,65,9,19,33,False,6,5,68,17,10,False,35,1,0,0,0,False,4,81,45,70,5,False,44,44,2,47,16,False,0,0,0,1,79,False,12,8,0,52,34,False,63,False
2020-08-23,94,63,9,23,36,False,6,5,67,18,10,False,36,2,0,0,0,False,4,88,44,70,5,False,49,53,2,76,16,False,0,0,0,0,72,False,11,8,0,54,32,False,60,False
2020-08-30,98,82,9,26,37,False,6,5,85,19,11,False,38,2,0,0,0,False,4,87,45,69,4,False,50,56,4,49,17,False,0,0,0,0,73,False,11,9,0,57,35,False,61,False
2020-09-06,98,66,9,21,37,False,5,5,77,19,11,False,40,2,0,0,0,False,5,88,41,65,5,False,56,59,4,76,18,False,0,0,0,0,70,False,11,9,0,53,32,False,61,False
2020-09-13,92,65,8,20,40,False,6,5,76,18,11,False,36,2,0,0,0,False,5,83,42,73,5,False,57,54,2,54,17,False,0,0,0,0,63,False,9,9,0,55,31,False,62,False
2020-09-20,97,68,8,20,39,False,6,6,78,19,13,False,36,2,0,0,0,False,5,90,45,74,4,False,63,59,3,54,19,False,0,0,0,0,59,False,10,10,0,52,29,False,65,False
2020-09-27,100,73,9,27,38,False,6,5,82,18,12,False,35,2,0,0,0,False,4,88,42,74,5,False,61,57,2,49,17,False,0,0,0,0,62,False,11,10,0,50,32,False,65,False
2020-10-04,95,69,8,22,35,False,5,5,79,18,12,False,33,2,0,0,0,False,5,89,41,77,4,False,54,55,3,48,15,False,0,0,0,0,69,False,11,9,0,51,31,False,64,False
2020-10-11,85,67,8,19,32,False,4,4,68,18,12,False,33,2,0,0,0,False,4,95,37,60,4,False,48,50,2,45,15,False,0,0,0,0,57,False,11,8,0,46,30,False,58,False
2020-10-18,94,62,8,19,30,False,5,5,79,18,12,False,38,2,0,0,0,False,4,100,42,69,4,False,48,56,2,51,16,False,0,0,0,0,55,False,9,9,0,48,28,False,60,False
2020-10-25,91,63,8,25,29,False,5,5,78,17,11,False,39,2,0,0,0,False,5,96,40,64,4,False,46,54,2,49,15,False,0,0,0,1,50,False,9,9,0,44,29,False,64,False
2020-11-01,81,49,7,23,28,False,4,4,69,15,10,False,32,1,0,0,0,False,5,85,35,55,5,False,38,44,2,43,14,False,0,0,0,0,45,False,8,7,0,41,26,False,58,False
2020-11-08,91,60,9,21,30,False,5,5,78,17,11,False,33,2,0,0,0,False,4,90,38,70,4,False,44,49,2,50,16,False,0,0,0,0,46,False,9,9,0,46,27,False,62,False
2020-11-15,79,67,8,19,28,False,5,5,75,18,11,False,32,1,0,0,0,False,4,87,38,65,4,False,41,46,2,49,15,False,0,0,0,0,46,False,9,8,0,45,27,False,70,False
2020-11-22,81,65,8,23,28,False,6,5,73,17,11,False,30,2,0,0,0,False,4,89,40,66,4,False,43,46,2,49,16,False,0,0,0,0,45,False,9,8,0,41,26,False,60,False
2020-11-29,77,71,8,27,34,False,6,5,70,17,11,False,33,1,0,0,0,False,4,80,40,70,5,False,36,42,2,49,15,False,0,0,0,0,47,False,9,8,0,43,27,False,58,False
2020-12-06,68,67,8,26,31,False,5,4,64,16,11,False,32,1,0,0,0,False,5,75,37,64,4,False,33,38,2,47,14,False,0,0,0,0,48,False,10,7,0,42,28,False,55,False
2020-12-13,73,73,8,29,33,False,6,4,67,15,10,False,30,1,0,0,0,False,4,69,34,60,5,False,29,35,2,46,14,False,0,0,0,0,48,False,9,6,0,41,29,False,57,False
2020-12-20,49,55,7,24,26,False,4,3,47,12,8,False,26,1,0,0,0,False,3,46,23,42,4,False,15,23,2,34,10,False,0,0,0,0,48,False,9,4,0,33,33,False,47,False
2020-12-27,56,49,7,25,25,False,4,3,48,13,8,False,27,1,0,0,0,False,4,41,23,35,4,False,15,21,1,33,10,False,0,0,0,0,52,False,10,3,0,32,34,False,47,False
2021-01-03,83,76,9,26,32,False,3,4,57,16,8,False,32,1,0,0,0,False,4,53,36,53,5,False,25,31,2,41,17,False,0,0,0,0,50,False,10,5,0,43,26,False,62,False
2021-01-10,93,81,9,20,38,False,4,5,68,20,10,False,32,1,0,0,0,False,5,65,40,62,4,False,34,39,2,45,18,False,0,0,0,0,48,False,10,6,0,46,28,False,64,False
2021-01-17,92,83,9,20,35,False,5,5,68,17,10,False,32,1,0,0,0,False,5,71,42,64,6,False,40,42,2,48,19,False,0,0,0,0,49,False,10,6,0,47,27,False,69,False
2021-01-24,99,78,9,23,37,False,6,5,73,20,10,False,35,2,0,0,0,False,7,71,41,61,5,False,40,43,2,54,17,False,0,0,0,0,48,False,10,6,0,47,28,False,62,False
2021-01-31,91,83,9,24,36,False,6,5,75,18,10,False,32,2,0,0,0,False,6,71,40,63,5,False,43,42,2,95,18,False,0,0,0,0,47,False,9,6,0,49,28,False,60,False
2021-02-07,97,81,9,19,36,False,6,5,70,19,10,False,32,2,0,0,0,False,5,74,41,66,5,False,47,48,2,53,20,False,0,0,0,0,54,False,10,7,0,47,31,False,61,False
2021-02-14,90,68,8,18,32,False,6,5,68,17,10,False,32,2,0,0,0,False,5,69,38,63,4,False,50,46,2,47,18,False,0,0,0,0,59,False,10,7,0,47,30,False,61,False
2021-02-21,93,76,9,24,32,False,6,6,72,19,11,False,38,2,0,0,0,False,5,77,44,69,5,False,56,53,2,53,21,False,0,0,0,0,52,False,10,8,0,49,28,False,67,False
2021-02-28,90,74,9,25,35,False,6,6,74,18,10,False,35,2,0,0,0,False,5,80,37,67,5,False,55,51,2,54,22,False,0,0,0,0,53,False,11,8,0,49,28,False,59,False
2021-03-07,92,67,9,22,38,False,6,6,74,17,10,False,34,2,0,0,0,False,5,76,40,66,4,False,54,47,2,52,21,False,0,0,0,0,52,False,12,8,0,47,28,False,65,False
2021-03-14,91,67,8,20,43,False,6,6,74,17,11,False,30,2,0,0,0,False,4,81,39,68,4,False,57,50,2,53,20,False,0,0,0,0,52,False,12,8,0,46,26,False,56,False
2021-03-21,87,73,9,20,47,False,5,5,72,17,11,False,35,2,0,0,0,False,5,75,39,69,5,False,51,49,2,52,19,False,0,0,0,0,54,False,13,8,0,47,28,False,58,False
2021-03-28,71,61,7,25,44,False,3,4,57,16,8,False,29,1,0,0,0,False,5,60,31,56,4,False,30,35,2,49,14,False,0,0,0,0,55,False,14,6,0,48,30,False,58,False
2021-04-04,89,75,9,22,45,False,6,5,73,16,10,False,32,2,0,0,0,False,5,74,40,63,5,False,43,46,2,53,16,False,0,0,0,0,54,False,12,8,0,49,30,False,58,False
2021-04-11,88,77,9,20,48,False,6,5,76,18,11,False,33,2,0,0,0,False,5,80,43,67,5,False,52,51,2,51,18,False,0,0,0,0,53,False,11,8,0,54,31,False,61,False
2021-04-18,93,84,10,19,46,False,6,5,78,19,12,False,34,2,0,0,0,False,5,92,42,68,5,False,52,55,2,54,17,False,0,0,0,0,54,False,12,9,0,50,31,False,54,False
2021-04-25,87,92,11,25,45,False,5,5,75,18,12,False,37,2,0,0,0,False,5,84,42,66,4,False,48,51,2,55,17,False,0,0,0,0,55,False,11,9,0,48,31,False,55,False
2021-05-02,92,74,9,25,54,False,5,5,74,18,11,False,32,1,0,0,0,False,4,83,41,65,4,False,44,49,2,53,16,False,0,0,0,0,59,False,12,8,0,48,32,False,59,False
2021-05-09,89,77,9,20,42,False,6,5,79,19,11,False,46,2,0,0,0,False,4,83,45,67,4,False,50,52,3,55,21,False,0,0,0,0,66,False,14,8,0,49,34,False,59,False
2021-05-16,84,78,9,19,36,False,4,5,73,20,12,False,37,1,0,0,0,False,4,83,43,68,4,False,49,51,2,57,18,False,0,0,0,0,70,False,14,8,0,52,35,False,60,False
2021-05-23,85,76,9,21,35,False,5,5,72,19,11,False,28,2,0,0,0,False,4,82,42,68,4,False,47,47,2,50,18,False,0,0,0,0,68,False,13,8,0,50,39,False,56,False
2021-05-30,91,78,35,25,36,False,6,5,78,20,11,False,31,2,0,0,0,False,5,83,41,64,4,False,47,49,2,52,18,False,0,0,0,0,77,False,15,8,0,48,39,False,58,False
2021-06-06,90,75,18,20,36,False,4,5,80,18,11,False,31,2,0,0,0,False,4,80,43,67,4,False,44,46,2,50,17,False,0,0,0,1,74,False,15,8,0,50,36,False,61,False
2021-06-13,89,84,12,19,34,False,4,5,75,18,11,False,30,2,0,0,0,False,5,83,41,66,4,False,43,44,2,51,17,False,0,0,0,0,78,False,16,8,0,51,38,False,59,False
2021-06-20,85,90,12,21,32,False,6,5,72,18,10,False,31,1,0,0,0,False,5,79,42,67,4,False,39,43,2,73,18,False,0,0,0,0,82,False,16,7,0,48,39,False,62,False
2021-06-27,89,89,12,27,30,False,7,4,75,17,10,False,29,1,0,0,0,False,6,71,40,60,5,False,35,39,2,53,17,False,0,0,0,1,84,False,17,6,0,47,40,False,65,False
2021-07-04,83,87,10,22,23,False,5,4,73,18,10,False,33,1,0,0,0,False,5,69,41,60,4,False,35,40,2,54,15,False,0,0,0,0,89,False,17,6,0,49,42,False,65,False
2021-07-11,83,94,11,19,22,False,6,5,71,17,10,False,29,1,0,0,0,False,5,64,41,61,4,False,36,38,2,91,18,False,0,0,0,0,88,False,18,6,0,47,42,False,63,False
2021-07-18,83,78,10,18,20,False,5,5,69,18,10,False,30,1,0,0,0,False,5,61,42,62,4,False,36,37,2,47,18,False,0,0,0,0,96,False,18,5,0,47,47,False,63,False
2021-07-25,79,70,10,24,19,False,6,4,70,17,9,False,37,1,0,0,0,False,5,63,40,60,4,False,32,34,2,47,15,False,0,0,0,0,87,False,16,5,0,44,43,False,68,False
2021-08-01,85,74,10,23,19,False,6,4,64,16,10,False,35,1,0,0,0,False,5,60,40,59,4,False,35,36,2,46,16,False,0,0,0,0,95,False,17,5,0,45,41,False,64,False
2021-08-08,83,72,11,18,19,False,5,4,63,17,10,False,35,1,0,0,0,False,4,66,40,62,4,False,39,38,2,49,17,False,0,0,0,0,92,False,17,6,0,42,42,False,63,False
2021-08-15,82,76,10,17,19,False,5,4,64,17,11,False,43,1,0,0,0,False,4,69,42,66,4,False,42,42,2,44,19,False,0,0,0,1,88,False,17,7,0,42,41,False,60,False
2021-08-22,85,73,10,20,23,False,6,4,63,19,10,False,32,2,0,0,0,False,4,73,51,65,4,False,44,45,2,52,19,False,0,0,0,0,78,False,15,7,0,46,41,False,61,False
2021-08-29,86,84,9,24,24,False,6,4,67,19,10,False,36,1,0,0,0,False,5,72,44,64,4,False,48,45,2,68,20,False,0,0,0,0,80,False,14,7,0,46,41,False,63,False
2021-09-05,84,68,9,18,24,False,6,4,68,18,10,False,33,2,0,0,0,False,5,74,36,61,4,False,50,50,2,48,17,False,0,0,0,0,78,False,13,7,0,48,40,False,61,False
2021-09-12,83,81,8,17,25,False,5,4,69,17,10,False,35,1,0,0,0,False,5,70,47,67,4,False,47,46,2,45,17,False,0,0,0,0,76,False,14,9,0,48,42,False,61,False
2021-09-19,81,76,8,17,25,False,5,4,71,18,10,False,31,1,0,0,0,False,5,77,47,65,4,False,50,48,2,50,15,False,0,0,0,0,74,False,13,8,0,50,38,False,58,False
2021-09-26,83,81,10,22,25,False,6,4,71,17,11,False,34,1,0,0,0,False,6,75,41,66,4,False,45,50,2,48,17,False,0,0,0,0,74,False,14,8,0,49,40,False,59,False
2021-10-03,82,67,9,20,24,False,7,5,70,17,10,False,38,1,0,0,0,False,6,79,42,63,4,False,43,49,2,45,15,False,0,0,0,0,78,False,15,8,0,50,39,False,60,False
2021-10-10,73,58,9,17,23,False,6,4,66,17,10,False,35,1,0,0,0,False,7,74,34,58,4,False,42,44,2,48,15,False,0,0,0,0,74,False,13,7,0,48,39,False,57,False
2021-10-17,80,66,9,18,23,False,4,4,71,17,10,False,35,1,0,0,0,False,9,80,42,65,4,False,45,52,2,46,17,False,0,0,0,0,74,False,14,7,0,48,37,False,70,False
2021-10-24,73,62,8,22,24,False,6,4,71,17,11,False,36,1,0,0,0,False,9,85,41,64,4,False,42,47,2,47,15,False,0,0,0,0,72,False,13,7,0,46,38,False,64,False
2021-10-31,70,55,7,22,20,False,5,4,69,16,10,False,35,1,0,0,0,False,9,80,33,56,4,False,39,43,2,46,14,False,0,0,0,0,70,False,12,6,0,47,40,False,58,False
2021-11-07,76,68,10,18,23,False,7,4,75,17,11,False,33,2,0,0,0,False,7,88,45,66,4,False,45,50,2,49,17,False,0,0,0,0,74,False,12,8,0,49,37,False,63,False
2021-11-14,71,63,9,17,21,False,6,4,72,16,10,False,32,1,0,0,0,False,6,83,41,62,4,False,40,48,2,47,16,False,0,0,0,0,69,False,13,7,0,50,36,False,57,False
2021-11-21,70,65,7,18,22,False,6,4,70,16,10,False,40,1,0,0,0,False,5,79,40,66,4,False,41,44,2,44,17,False,0,0,0,0,63,False,12,7,0,44,36,False,54,False
2021-11-28,66,70,7,25,25,False,7,4,69,16,10,False,70,1,0,0,0,False,6,76,41,65,4,False,36,41,2,44,16,False,0,0,0,0,63,False,13,7,0,48,37,False,59,False
2021-12-05,55,66,7,23,23,False,6,4,57,14,9,False,100,1,0,0,0,False,4,63,34,59,4,False,31,37,2,40,15,False,0,0,0,0,65,False,11,5,0,47,39,False,57,False
2021-12-12,58,75,7,26,19,False,8,4,71,14,8,False,92,1,0,0,0,False,5,63,34,59,4,False,29,33,2,43,14,False,0,0,0,0,64,False,12,5,0,49,39,False,58,False
2021-12-19,46,59,7,25,15,False,6,3,46,11,6,False,29,1,0,0,0,False,4,43,26,45,4,False,16,20,2,34,11,False,0,0,0,0,63,False,12,3,0,41,40,False,52,False
2021-12-26,49,48,7,22,15,False,5,3,50,13,6,False,30,1,0,0,0,False,4,35,24,40,3,False,13,18,2,35,11,False,0,0,0,0,76,False,15,3,0,35,44,False,54,False
2022-01-02,78,79,11,26,19,False,5,4,64,16,9,False,35,1,0,0,0,False,5,58,36,57,4,False,28,36,2,42,19,False,0,0,0,0,70,False,16,5,0,59,33,False,67,False
2022-01-09,83,82,10,22,22,False,7,5,71,16,10,False,36,1,0,0,0,False,9,66,41,67,5,False,37,45,2,44,24,False,0,0,0,0,66,False,14,6,0,66,31,False,66,False
