date,Despegar,Avianza,Latam,Clic,Wingo,Servientrega,TCC,Coordinadora,Interrapidisimo,bodega,Bodegas,Despacho,Arauca,Bolivariano,Redbus,Rapido Ochoa,Expreso Brasilia,Coomotor,Expreso Palmira,Libertadores,Cootranshuila,Coopetran,Coflonorte,pinbus,Almacenamiento,Acopio,depósito,Satena,Tullave,Civica,Vuelos,Fligths,hotel,hoteles,dolar
2004-01-01,8,73,9,0,0,7,26,0,2,49,0,0,41,13,0,0,0,0,77,17,0,0,0,16,38,0,0,9,0,55,3,0,46,82,7
2004-02-01,0,100,4,18,0,3,9,0,0,0,23,32,57,14,100,23,31,0,0,18,0,0,0,11,83,0,0,21,78,42,2,0,35,65,6
2004-03-01,3,0,2,0,0,4,0,0,0,41,55,100,16,14,0,0,0,92,74,13,0,0,100,0,87,0,0,0,0,0,2,0,39,55,4
2004-04-01,6,0,5,35,0,4,0,0,0,14,32,55,54,16,0,0,16,24,29,13,0,0,0,74,76,0,76,7,0,0,4,0,40,52,3
2004-05-01,2,18,2,8,0,7,0,3,0,53,22,56,43,8,0,0,0,0,0,19,0,33,0,0,59,0,0,21,42,0,2,0,34,58,4
2004-06-01,0,0,0,0,0,7,16,0,2,49,34,35,58,24,0,0,22,20,49,22,0,0,0,0,46,0,91,19,0,0,8,0,52,88,3
2004-07-01,4,27,0,21,0,7,30,3,0,0,100,81,31,9,0,0,71,0,0,28,0,0,0,14,44,0,0,9,0,0,7,0,50,65,4
2004-08-01,3,0,2,16,0,5,27,5,0,20,0,64,31,4,0,0,0,0,0,6,0,0,39,0,100,0,0,8,0,0,4,0,39,60,4
2004-09-01,0,0,0,17,0,3,27,7,2,75,28,29,44,9,0,19,0,70,0,6,0,0,0,0,75,100,51,12,47,20,4,100,39,54,4
2004-10-01,6,29,4,20,4,12,28,8,0,43,52,51,33,10,26,0,0,0,23,5,0,0,0,0,61,0,100,15,0,0,3,0,41,61,3
2004-11-01,8,0,5,20,0,8,17,2,0,29,69,58,41,12,0,23,43,38,0,7,33,100,0,9,60,0,34,9,0,0,3,0,48,76,5
2004-12-01,7,0,0,7,0,18,37,0,1,39,55,0,39,48,0,0,76,37,100,19,0,0,0,30,23,0,0,30,0,30,8,0,57,93,4
2005-01-01,6,31,3,0,0,6,17,7,0,38,0,54,35,17,0,27,50,0,18,22,75,35,81,0,34,0,0,8,0,0,7,92,60,96,4
2005-02-01,5,0,3,21,0,8,0,5,0,43,41,0,48,14,0,0,45,0,18,23,46,0,0,0,90,58,0,9,0,0,4,0,43,65,4
2005-03-01,6,0,0,20,0,9,25,8,0,19,44,37,31,18,0,0,24,0,36,15,26,0,0,10,68,0,68,8,0,24,6,0,44,70,4
2005-04-01,3,0,2,25,0,13,15,4,0,12,47,61,23,8,0,15,14,0,0,14,37,0,0,10,60,0,83,8,40,0,4,96,40,56,4
2005-05-01,11,0,4,27,0,12,28,6,0,31,24,90,43,22,0,0,14,0,15,21,0,0,0,0,59,35,20,19,0,0,6,0,44,65,3
2005-06-01,1,0,5,23,0,12,24,4,0,30,68,21,46,23,0,0,46,17,68,13,0,0,0,0,47,52,0,19,34,35,5,0,53,81,3
2005-07-01,5,0,0,16,0,13,9,4,0,36,47,0,50,25,0,0,0,0,29,13,60,17,0,7,56,0,0,26,0,0,6,0,55,76,4
2005-08-01,4,0,2,12,0,11,33,7,0,38,10,34,50,16,0,0,13,0,0,6,0,11,0,0,67,34,0,25,0,33,6,0,46,69,4
2005-09-01,5,0,3,14,0,14,26,3,0,23,22,34,37,18,0,14,17,14,21,5,78,15,0,0,60,96,48,14,0,0,6,0,48,71,4
2005-10-01,5,0,3,25,0,9,21,4,0,27,41,0,49,13,0,14,22,0,16,1,0,53,0,9,61,79,20,10,0,0,4,0,50,71,3
2005-11-01,5,0,5,9,0,14,16,5,0,61,57,27,46,30,0,14,32,19,0,9,0,0,0,0,58,48,0,26,0,31,6,63,52,82,4
2005-12-01,5,19,3,7,0,19,39,2,0,28,16,0,24,63,0,0,87,29,36,17,0,30,21,0,43,0,0,34,0,31,7,0,61,100,4
2006-01-01,4,0,4,16,0,14,20,5,1,31,41,0,34,52,22,23,40,0,39,22,100,0,0,5,30,0,0,19,0,31,8,0,60,98,3
2006-02-01,5,0,1,16,0,13,19,4,0,13,39,54,33,9,0,0,27,0,0,22,0,0,18,0,86,59,30,20,0,39,4,0,43,57,3
2006-03-01,4,0,3,19,0,15,28,5,1,25,42,61,33,21,0,16,21,7,8,22,0,0,17,0,90,36,23,16,0,15,4,0,49,66,3
2006-04-01,6,0,3,13,0,16,24,0,0,24,44,13,22,36,0,29,44,10,11,29,20,26,12,6,65,0,25,20,31,25,5,50,48,63,4
2006-05-01,4,9,3,15,0,19,37,4,0,29,37,30,41,14,0,0,19,0,15,10,12,15,13,0,65,24,0,14,0,25,3,0,42,56,4
2006-06-01,6,0,1,16,1,22,21,2,1,40,49,31,42,33,15,16,54,12,51,11,0,21,0,0,47,59,25,18,0,0,6,0,58,77,5
2006-07-01,6,0,2,8,0,22,11,7,0,21,35,26,51,32,0,28,44,13,18,16,0,51,27,0,35,0,0,20,0,0,5,64,59,77,5
